semana_fin,fecha_dato,anio,mes,semana_iso,geografia,tipo_geografia,municipio_referencia,orden_geografia,categoria,cadencia,orden_variable,variable,etiqueta_variable,descripcion_variable,valor,unidad,decimales,color,fuente,dias_observados,indice_base_100,cambio_1s_absoluto,cambio_1s_pct,cambio_4s_pct,cambio_1m_pct,cambio_12m_pct,promedio_movil_4s,promedio_movil_12s,anomalia_z_52s,estado_anomalia,direccion_cambio,ranking_departamental,percentil_departamental,diferencia_mediana_departamentos
2026-06-28,2026-06-28,2026,6,26,Huila,Departamental,Pitalito,3,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,21.1357,°C,1,#D97706,open-meteo,7,,1.0643,,,,,20.85,20.988692,0.902314,Dentro de su rango histórico,Sube,4.0,62.5,0.03215
2026-06-28,2026-06-28,2026,6,26,Antioquia,Departamental,Andes,4,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,21.6,mm,1,#0284C7,open-meteo,7,,-30.8,-58.778626,-64.473684,,,47.025,49.866667,-1.334141,Por debajo de su historia,Baja,5.0,50.0,-12.95
2026-06-28,2026-06-28,2026,6,26,Antioquia,Departamental,Andes,4,Clima,Semanal,7,temp_min_semanal,Temperatura mínima semanal,Menor temperatura mínima diaria de la semana,17.3,°C,1,#4F46E5,open-meteo,7,,0.3,,,,,17.65,17.183333,1.096314,Por encima de su historia,Sube,1.0,100.0,1.65
2026-06-28,2026-06-28,2026,6,26,Antioquia,Departamental,Andes,4,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,30.5,°C,1,#DC2626,open-meteo,7,,0.7,,,,,30.125,29.991667,0.622439,Dentro de su rango histórico,Sube,1.0,100.0,2.55
2026-06-28,2026-06-28,2026,6,26,Antioquia,Departamental,Andes,4,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,23.9857,°C,1,#D97706,open-meteo,7,,0.9428,,,,,23.441075,23.2762,2.070398,Muy por encima de su historia,Sube,1.0,100.0,2.88215
2026-06-28,2026-06-28,2026,6,26,Tolima,Departamental,Líbano,5,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,47.5,mm,1,#0284C7,open-meteo,7,,-88.7,-65.124816,8.944954,,,101.3,107.275,-1.155513,Por debajo de su historia,Baja,4.0,62.5,12.95
2026-06-28,2026-06-28,2026,6,26,Tolima,Departamental,Líbano,5,Clima,Semanal,7,temp_min_semanal,Temperatura mínima semanal,Menor temperatura mínima diaria de la semana,15.9,°C,1,#4F46E5,open-meteo,7,,0.2,,,,,15.75,15.25,1.765725,Por encima de su historia,Sube,4.0,62.5,0.25
2026-06-28,2026-06-28,2026,6,26,Tolima,Departamental,Líbano,5,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,25.7,°C,1,#DC2626,open-meteo,7,,0.1,,,,,25.75,25.058333,1.038849,Por encima de su historia,Sube,6.0,37.5,-2.25
2026-06-28,2026-06-28,2026,6,26,Tolima,Departamental,Líbano,5,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,20.7786,°C,1,#D97706,open-meteo,7,,0.8215,,,,,19.971425,19.792858,2.429816,Muy por encima de su historia,Sube,6.0,37.5,-0.32495
2026-06-28,2026-06-28,2026,6,26,Cauca,Departamental,Popayán,6,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,13.2,mm,1,#0284C7,open-meteo,7,,-1.2,-8.333333,-46.987952,,,28.7,33.1,-0.979363,Dentro de su rango histórico,Baja,8.0,12.5,-21.35
2026-06-28,2026-06-28,2026,6,26,Cauca,Departamental,Popayán,6,Clima,Semanal,7,temp_min_semanal,Temperatura mínima semanal,Menor temperatura mínima diaria de la semana,14.7,°C,1,#4F46E5,open-meteo,7,,0.6,,,,,14.25,14.116667,1.466725,Por encima de su historia,Sube,7.0,25.0,-0.95
2026-06-28,2026-06-28,2026,6,26,Cauca,Departamental,Popayán,6,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,28.0,°C,1,#DC2626,open-meteo,7,,2.7,,,,,26.925,26.066667,1.667303,Por encima de su historia,Sube,4.0,62.5,0.05
2026-06-28,2026-06-28,2026,6,26,Cauca,Departamental,Popayán,6,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,21.0714,°C,1,#D97706,open-meteo,7,,1.5071,,,,,19.801775,19.583325,2.471659,Muy por encima de su historia,Sube,5.0,50.0,-0.03215
2026-06-28,2026-06-28,2026,6,26,Nariño,Departamental,La Unión,7,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,18.1,mm,1,#0284C7,open-meteo,7,,-6.5,-26.422764,-42.356688,,,25.0,39.925,-0.74408,Dentro de su rango histórico,Baja,7.0,25.0,-16.45
2026-06-28,2026-06-28,2026,6,26,Nariño,Departamental,La Unión,7,Clima,Semanal,7,temp_min_semanal,Temperatura mínima semanal,Menor temperatura mínima diaria de la semana,15.4,°C,1,#4F46E5,open-meteo,7,,0.3,,,,,15.0,14.333333,1.772027,Por encima de su historia,Sube,5.0,50.0,-0.25
2026-06-28,2026-06-28,2026,6,26,Nariño,Departamental,La Unión,7,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,25.5,°C,1,#DC2626,open-meteo,7,,2.5,,,,,24.925,24.358333,1.036328,Por encima de su historia,Sube,7.0,25.0,-2.45
2026-06-28,2026-06-28,2026,6,26,Nariño,Departamental,La Unión,7,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,19.7286,°C,1,#D97706,open-meteo,7,,0.5429,,,,,19.2375,18.955942,1.703008,Por encima de su historia,Sube,7.0,25.0,-1.37495
2026-06-28,2026-06-28,2026,6,26,Risaralda,Departamental,Pereira,8,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,18.9,mm,1,#0284C7,open-meteo,7,,-26.0,-57.906459,-66.607774,,,30.025,46.708333,-1.369027,Por debajo de su historia,Baja,6.0,37.5,-15.65
2026-06-28,2026-06-28,2026,6,26,Risaralda,Departamental,Pereira,8,Clima,Semanal,7,temp_min_semanal,Temperatura mínima semanal,Menor temperatura mínima diaria de la semana,16.7,°C,1,#4F46E5,open-meteo,7,,0.7,,,,,16.375,16.175,1.824925,Por encima de su historia,Sube,2.0,87.5,1.05
2026-06-28,2026-06-28,2026,6,26,Risaralda,Departamental,Pereira,8,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,29.1,°C,1,#DC2626,open-meteo,7,,2.9,,,,,27.875,27.3,2.723403,Muy por encima de su historia,Sube,2.0,87.5,1.15
2026-06-28,2026-06-28,2026,6,26,Risaralda,Departamental,Pereira,8,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,21.5714,°C,1,#D97706,open-meteo,7,,0.7214,,,,,21.30535,21.246417,1.837439,Por encima de su historia,Sube,2.0,87.5,0.46785
2026-06-28,2026-06-28,2026,6,26,Quindío,Departamental,Armenia,9,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,54.1,mm,1,#0284C7,open-meteo,7,,-47.1,-46.541502,-41.067538,,,83.65,87.975,-1.283938,Por debajo de su historia,Baja,2.0,87.5,19.55
2026-06-28,2026-06-28,2026,6,26,Quindío,Departamental,Armenia,9,Clima,Semanal,7,temp_min_semanal,Temperatura mínima semanal,Menor temperatura mínima diaria de la semana,16.1,°C,1,#4F46E5,open-meteo,7,,-0.2,,,,,16.175,15.633333,1.426167,Por encima de su historia,Baja,3.0,75.0,0.45
2026-06-28,2026-06-28,2026,6,26,Quindío,Departamental,Armenia,9,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,28.1,°C,1,#DC2626,open-meteo,7,,4.5,,,,,26.0,25.95,2.462803,Muy por encima de su historia,Sube,3.0,75.0,0.15
2026-06-28,2026-06-28,2026,6,26,Quindío,Departamental,Armenia,9,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,21.3357,°C,1,#D97706,open-meteo,7,,1.4,,,,,20.421425,20.429167,2.633352,Muy por encima de su historia,Sube,3.0,75.0,0.23215
